path,classification,treatment,reason
.gitignore,C,思想のみ参照し新規作成,内容を個別確認し、必要な考え方のみ新製品へ反映
CHANGELOG.md,C,思想のみ参照し新規作成,内容を個別確認し、必要な考え方のみ新製品へ反映
CONTRIBUTING.md,C,思想のみ参照し新規作成,内容を個別確認し、必要な考え方のみ新製品へ反映
FILE_MANIFEST.txt,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
LICENSE,C,思想のみ参照し新規作成,内容を個別確認し、必要な考え方のみ新製品へ反映
MIGRATION_GUIDE_v0.2.0.md,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
MIGRATION_GUIDE_v0.2.0_FINAL.md,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
MIGRATION_GUIDE_v0.2.2.md,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
MIGRATION_GUIDE_v0.2.3.md,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
MIGRATION_GUIDE_v1.0.0.md,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
QUALITY_FREEZE_REPORT_v0.2.0.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
README.md,C,思想のみ参照し新規作成,内容を個別確認し、必要な考え方のみ新製品へ反映
RELEASE_ACCEPTANCE_v0.15.3-alpha.1.md,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
RELEASE_ACCEPTANCE_v0.15.4-alpha.1.md,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
RELEASE_ACCEPTANCE_v0.16.0-alpha.1.md,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
RELEASE_NOTES_v0.2.0.md,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
RELEASE_NOTES_v0.2.0_FINAL.md,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
RELEASE_NOTES_v0.2.2_RC_HOTFIX.md,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
RELEASE_NOTES_v0.2.3_VALIDATION_HOTFIX.md,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
RELEASE_NOTES_v1.0.0_BASELINE.md,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
VERSION,C,思想のみ参照し新規作成,内容を個別確認し、必要な考え方のみ新製品へ反映
architecture/domain/domain-model-v1.0.md,C,思想のみ参照し新規作成,内容を個別確認し、必要な考え方のみ新製品へ反映
